2019/01/08,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.4,2.4,2.4
2019/02/08,2:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.4,2.4,2.4
2019/03/07,2:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.4,2.4,2.4
2019/04/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.4,2.4,2.4
2019/05/08,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.4,2.4,2.4
2019/06/07,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.4,2.4,2.4
2019/07/09,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,2.3,2.4,2.4
2019/08/09,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.3,2.3,2.3
2019/09/09,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.3,2.3,2.3
2019/10/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Worse Than Expected             ,% ,2.3,2.1,2.3
2019/11/08,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.3,2.3,2.3
2019/12/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.3,2.3,2.3
2020/01/10,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.3,2.3,2.3
2020/02/10,2:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.3,2.3,2.3
2020/03/09,2:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,,% ,2.3,,2.3
2020/04/07,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.8,2.8,evised From 2.3
2020/05/07,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,2.8
2020/06/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3.4,3.7,evised From 3.3
2020/07/08,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3.3,3.6,evised From 3.4
2020/08/10,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3.3,3.6,3.3
